day month year date wy psn trans evap leafC stemC biomass precip tavg vpd radiation rel_humidity
1 10 1993 1993-10-01 1994 -0.449671 0.001652 0 239.621979 815.197721 1132.413239 0 20.334 416.43904 15229.453128 0.826189
2 10 1993 1993-10-02 1994 -0.49046 0.001529 0 239.618696 815.133471 1132.344643 0 21.729 698.65266 19545.34772 0.732351
3 10 1993 1993-10-03 1994 -0.399863 0.000171 0 239.615414 815.069228 1132.276055 0 18.394 211.77428 8546.676771 0.900269
4 10 1993 1993-10-04 1994 -0.349284 0.000428 0 239.612131 815.00499 1132.207471 0 16.999 287.51697 12967.012927 0.852154
5 10 1993 1993-10-05 1994 -0.366457 0.000797 0 239.608849 814.940757 1132.138893 0 17.834 392.84869 16166.92941 0.808371
6 10 1993 1993-10-06 1994 -0.360395 0.000677 0 239.605567 814.87653 1132.070321 0 17.559 357.61902 15247.348105 0.822505
7 10 1993 1993-10-07 1994 -0.241543 0.000613 0 239.602284 814.812307 1132.001752 0 13.394 555.15842 19411.025158 0.640094
8 10 1993 1993-10-08 1994 -0.272956 8e-04 0 239.599002 814.74809 1131.93319 0 15.059 569.56191 19236.977778 0.668498
9 10 1993 1993-10-09 1994 -0.233735 0.00065 0 239.59572 814.683878 1131.864634 0 13.394 592.52593 19453.731573 0.615868
10 10 1993 1993-10-10 1994 -0.350033 0 0.28365 239.592438 814.619671 1131.796082 2.9231 17.582 387.34696 15025.266167 0.808033
11 10 1993 1993-10-11 1994 1.271436 0.767255 0 240.241174 814.772809 1132.814232 0 19.224 391.76229 14105.396122 0.824833
12 10 1993 1993-10-12 1994 0.733865 0.655678 0 240.614224 814.834057 1133.372912 0 18.669 503.15245 17100.04762 0.767096
13 10 1993 1993-10-13 1994 0.18706 0.265024 0 240.706856 814.801838 1133.464233 0 17.004 403.32281 15826.087227 0.792671
14 10 1993 1993-10-14 1994 -0.038208 0.153757 0 240.703559 814.737647 1133.395677 0 17.004 403.32281 15826.087227 0.792671
15 10 1993 1993-10-15 1994 -0.306975 0.10064 0 240.700262 814.67346 1133.327126 0 19.504 494.80126 14105.016676 0.782583
16 10 1993 1993-10-16 1994 -0.333449 0.037543 0 240.696964 814.60928 1133.25858 0 17.834 508.03822 15042.255095 0.752182
17 10 1993 1993-10-17 1994 -0.310656 0.015164 0 240.693667 814.545105 1133.19004 0 16.169 512.19684 15701.84317 0.722349
18 10 1993 1993-10-18 1994 -0.348406 0.010962 0 240.69037 814.480934 1133.121504 0 17.559 682.26227 16521.375568 0.661377
19 10 1993 1993-10-19 1994 -0.38899 0.005452 0 240.687073 814.41677 1133.052975 0 18.949 865.93131 16556.683989 0.606123
20 10 1993 1993-10-20 1994 -0.338355 0.00152 0 240.683776 814.352611 1132.984452 0 17.284 831.55087 16416.625981 0.580049
21 10 1993 1993-10-21 1994 -0.410659 0.000826 0 240.680479 814.288456 1132.915932 0 18.389 465.59815 14114.790802 0.780667
22 10 1993 1993-10-22 1994 -0.507969 0.001337 0 240.677182 814.224307 1132.847418 0 21.449 847.87525 16521.375568 0.669573
23 10 1993 1993-10-23 1994 -0.338047 0.000407 0 240.673885 814.160163 1132.778909 0 16.449 593.2495 15207.847267 0.684098
24 10 1993 1993-10-24 1994 -0.435905 0.000703 0 240.670588 814.096026 1132.710407 0 19.224 579.31588 14305.447305 0.740973
25 10 1993 1993-10-25 1994 -0.370946 0.000452 0 240.667291 814.031892 1132.641909 0 17.004 403.32281 12454.414658 0.792671
26 10 1993 1993-10-26 1994 -0.50843 0.00132 0 240.663994 813.967763 1132.573415 0 22.004 1112.52532 15217.2912 0.580896
27 10 1993 1993-10-27 1994 -0.470975 0.000702 0 240.660698 813.903641 1132.504929 0 20.894 992.48652 15396.388347 0.599815
28 10 1993 1993-10-28 1994 -0.38593 0.000484 0 240.657401 813.839524 1132.436448 0 17.834 616.12692 15049.657441 0.699457
29 10 1993 1993-10-29 1994 -0.40451 0.000443 0 240.654104 813.775411 1132.36797 0 17.834 392.84869 11782.757498 0.808371
30 10 1993 1993-10-30 1994 -0.396821 0.000498 0 240.650808 813.711303 1132.299498 0 17.559 357.61902 11028.09866 0.822505
31 10 1993 1993-10-31 1994 -0.358069 0.000648 0 240.647511 813.647202 1132.231033 0 16.724 477.1607 12768.233664 0.750318
1 11 1993 1993-11-01 1994 -0.362637 0.00074 0 240.644214 813.583105 1132.162571 0 17.004 511.41151 13253.49131 0.737108
2 11 1993 1993-11-02 1994 -0.411834 0.001183 0 240.640918 813.519014 1132.094116 0 19.504 943.26959 14266.677768 0.585526
3 11 1993 1993-11-03 1994 -0.46654 0.000927 0 240.637621 813.454928 1132.025666 0 20.614 895.67685 14466.944877 0.63257
4 11 1993 1993-11-04 1994 -0.325994 0.000424 0 240.634325 813.390846 1131.95722 0 15.894 575.0887 14160.435161 0.682734
5 11 1993 1993-11-05 1994 -0.318205 0.000522 0 240.631029 813.32677 1131.888781 0 15.614 542.90003 13998.966199 0.695077
6 11 1993 1993-11-06 1994 -0.314448 0.000529 0 240.627732 813.262701 1131.820347 0 15.339 464.62042 13247.600582 0.7344
