day month year date wy psn trans evap leafC stemC biomass precip tavg vpd radiation rel_humidity
1 10 1989 1989-10-01 1990 -0.346406 0.001307 0 183.830157 796.600446 1039.426868 0 17.279 437.48522 17667.225627 0.778991
2 10 1989 1989-10-02 1990 -0.313104 0.000902 0 183.827638 796.536451 1039.359545 0 16.174 462.46368 18765.622296 0.749388
3 10 1989 1989-10-03 1990 -0.299804 0.000849 0 183.82512 796.472463 1039.292231 0 15.894 527.93319 19835.423965 0.708749
4 10 1989 1989-10-04 1990 -0.352901 0.001229 0 183.822602 796.40848 1039.224922 0 18.674 876.31812 20483.760005 0.594489
5 10 1989 1989-10-05 1990 -0.338891 0.000619 0 183.820084 796.344502 1039.157618 0 17.559 631.94069 20261.641723 0.686353
6 10 1989 1989-10-06 1990 -0.333137 0.000658 0 183.817566 796.280529 1039.090319 0 17.284 597.24334 20075.040196 0.69838
7 10 1989 1989-10-07 1990 -0.46308 0.001014 0 183.815048 796.216562 1039.023026 0 21.174 742.08355 18904.061997 0.705885
8 10 1989 1989-10-08 1990 -0.321761 0.000302 0 183.81253 796.152599 1038.955737 0 16.169 357.16422 15009.910539 0.806389
9 10 1989 1989-10-09 1990 -0.336344 0.00062 0 183.810012 796.088641 1038.888453 0 17.004 457.74391 17090.250924 0.764696
10 10 1989 1989-10-10 1990 -0.353661 0.000501 0 183.807494 796.02469 1038.821175 0 17.279 322.29569 13078.570092 0.837182
11 10 1989 1989-10-11 1990 -0.374585 5e-04 0 183.804976 795.960743 1038.753902 0 17.839 269.66912 10598.627149 0.868498
12 10 1989 1989-10-12 1990 -0.342953 0.000728 0 183.802458 795.896801 1038.686634 0 17.004 346.12101 14105.396122 0.822076
13 10 1989 1989-10-13 1990 -0.332555 0.000757 0 183.79994 795.832864 1038.619371 0 16.724 369.07201 15025.266167 0.806877
14 10 1989 1989-10-14 1990 -0.28764 0.00024 0 183.797422 795.768934 1038.552115 0 14.504 170.14616 7680.565248 0.897362
15 10 1989 1989-10-15 1990 -0.319457 0.00087 0 183.794905 795.705008 1038.484864 0 15.614 447.89796 15042.255095 0.748435
16 10 1989 1989-10-16 1990 -0.309313 0.000809 0 183.792387 795.641086 1038.417616 0 15.339 464.62042 15398.709908 0.7344
17 10 1989 1989-10-17 1990 -0.336027 0.000761 0 183.789869 795.577171 1038.350375 0 16.169 410.83181 14114.790802 0.777296
18 10 1989 1989-10-18 1990 -0.38949 0.001411 0 183.787351 795.513263 1038.283141 0 18.949 865.93131 16556.683989 0.606123
19 10 1989 1989-10-19 1990 -0.4069 0.00083 0 183.784834 795.449357 1038.21591 0 18.949 710.89869 16432.013249 0.676641
20 10 1989 1989-10-20 1990 -0.445134 0.000179 0 183.782316 795.385457 1038.148684 0 18.669 180.85676 5190.733828 0.916283
21 10 1989 1989-10-21 1990 -0.402841 0 0.283593 183.779799 795.321563 1038.081465 8.54443 17.582 202.43892 6533.554339 0.899673
22 10 1989 1989-10-22 1990 2.138638 0 0.283588 183.777281 795.257674 1038.01425 2.9231 18.137 338.14354 11184.616797 0.838172
23 10 1989 1989-10-23 1990 2.392954 0 0.283583 183.774764 795.19379 1037.947041 6.07104 18.692 348.15972 10141.382249 0.839076
24 10 1989 1989-10-24 1990 2.37508 0.725515 0 183.772246 795.129911 1037.879837 0 17.559 233.79394 6943.431038 0.883962
25 10 1989 1989-10-25 1990 2.549391 1.510272 0 183.769729 795.066038 1037.812639 0 16.449 495.08138 14299.551842 0.736372
26 10 1989 1989-10-26 1990 2.378796 1.430326 0 183.767211 795.00217 1037.745445 0 15.339 511.77593 14850.820755 0.707444
27 10 1989 1989-10-27 1990 2.281719 1.205798 0 183.764694 794.938305 1037.678255 0 15.334 416.21243 13517.913135 0.761996
28 10 1989 1989-10-28 1990 2.205468 1.446789 0 183.762177 794.874449 1037.611074 0 15.059 612.27567 15479.619656 0.643638
29 10 1989 1989-10-29 1990 2.104725 1.389417 0 183.759659 794.810596 1037.543895 0 15.339 600.75983 15420.961205 0.656576
30 10 1989 1989-10-30 1990 1.985118 1.417467 0 183.757142 794.746748 1037.476722 0 15.614 715.17907 15457.253176 0.598315
31 10 1989 1989-10-31 1990 1.83933 1.247804 0 183.754625 794.682905 1037.409554 0 17.004 612.77653 14022.572789 0.685001
1 11 1989 1989-11-01 1990 1.576151 1.206256 0 183.752108 794.619069 1037.342394 0 16.449 812.68406 14169.317113 0.56725
2 11 1989 1989-11-02 1990 1.281172 1.02191 0 183.749591 794.555238 1037.275238 0 16.444 771.50513 14347.529816 0.589047
3 11 1989 1989-11-03 1990 0.976288 0.871708 0 183.747073 794.491412 1037.208086 0 17.279 741.941 14467.068262 0.625186
4 11 1989 1989-11-04 1990 0.540696 0.467544 0 183.744556 794.427589 1037.140938 0 14.504 592.45988 14430.518056 0.642608
5 11 1989 1989-11-05 1990 0.301618 0.281128 0 183.742039 794.363774 1037.073798 0 13.394 477.23749 13998.966199 0.690609
6 11 1989 1989-11-06 1990 0.169014 0.202884 0 183.739522 794.299963 1037.006663 0 12.834 461.79088 13998.966199 0.689468
7 11 1989 1989-11-07 1990 0.075621 0.159804 0 183.737005 794.236157 1036.939532 0 13.669 421.8116 13247.600582 0.731395
8 11 1989 1989-11-08 1990 0.003475 0.201131 0 183.734488 794.172358 1036.872408 0 16.169 738.89655 13559.430024 0.599459
9 11 1989 1989-11-09 1990 -0.15325 0.149032 0 183.731971 794.108562 1036.805287 0 18.114 937.9022 13077.422655 0.550483
10 11 1989 1989-11-10 1990 -0.268451 0.069988 0 183.729455 794.044772 1036.738174 0 18.669 1054.49542 12408.887797 0.511886
11 11 1989 1989-11-11 1990 -0.244612 0.009541 0 183.726938 793.980987 1036.671064 0 13.669 332.8277 10596.087615 0.788059
12 11 1989 1989-11-12 1990 -0.247852 0.007686 0 183.724421 793.917209 1036.603961 0 13.669 332.8277 10596.087615 0.788059
13 11 1989 1989-11-13 1990 -0.274335 0.007308 0 183.721904 793.853434 1036.536861 0 14.779 354.86794 10596.087615 0.789698
14 11 1989 1989-11-14 1990 -0.245996 0.004966 0 183.719387 793.789666 1036.469769 0 13.389 350.07977 11160.684635 0.772971
