day month year date wy psn trans evap leafC stemC biomass
1 10 1980 1980-10-01 1981 -0.488042 0.000467 0 208.107619 813.986416 1089.679839
2 10 1980 1980-10-02 1981 -0.405388 0.002671 0 208.104768 813.920567 1089.610213
3 10 1980 1980-10-03 1981 -0.404137 0.001356 0 208.101918 813.854724 1089.540595
4 10 1980 1980-10-04 1981 -0.441432 0.001356 0 208.099067 813.788886 1089.47098
5 10 1980 1980-10-05 1981 -0.407239 0.000632 0 208.096216 813.723055 1089.401372
6 10 1980 1980-10-06 1981 -0.379423 0.000929 0 208.093366 813.657226 1089.331767
7 10 1980 1980-10-07 1981 -0.378787 0.000949 0 208.090515 813.591404 1089.262168
8 10 1980 1980-10-08 1981 -0.42261 0.000716 0 208.087664 813.525588 1089.192576
9 10 1980 1980-10-09 1981 -0.42496 0.000456 0 208.084814 813.459777 1089.122989
10 10 1980 1980-10-10 1981 -0.328226 0.000939 0 208.081963 813.393972 1089.053407
11 10 1980 1980-10-11 1981 -0.369292 0.001177 0 208.079113 813.328172 1088.983831
12 10 1980 1980-10-12 1981 -0.38296 0.000726 0 208.076263 813.262377 1088.914261
13 10 1980 1980-10-13 1981 -0.352224 0.000696 0 208.073412 813.196588 1088.844695
14 10 1980 1980-10-14 1981 -0.436154 0.000727 0 208.070562 813.130804 1088.775135
15 10 1980 1980-10-15 1981 -0.386266 0.000619 0 208.067712 813.065024 1088.70558
16 10 1980 1980-10-16 1981 -0.303824 0.000375 0 208.064861 812.999251 1088.63603
17 10 1980 1980-10-17 1981 -0.288933 0.000602 0 208.062011 812.933484 1088.566487
18 10 1980 1980-10-18 1981 -0.371659 0.001159 0 208.059161 812.867722 1088.49695
19 10 1980 1980-10-19 1981 -0.435167 0.000985 0 208.056311 812.801964 1088.427416
20 10 1980 1980-10-20 1981 -0.421306 0.000702 0 208.053461 812.736212 1088.357888
21 10 1980 1980-10-21 1981 -0.432618 0.000686 0 208.050611 812.670468 1088.288369
22 10 1980 1980-10-22 1981 -0.343107 0.000344 0 208.047761 812.604727 1088.218852
23 10 1980 1980-10-23 1981 -0.356216 0.000453 0 208.044911 812.538991 1088.149341
24 10 1980 1980-10-24 1981 -0.371456 0.000825 0 208.042061 812.473261 1088.079835
25 10 1980 1980-10-25 1981 -0.337664 0.000594 0 208.039211 812.407536 1088.010335
26 10 1980 1980-10-26 1981 -0.435381 0.001091 0 208.036361 812.341818 1087.940841
27 10 1980 1980-10-27 1981 -0.355967 0.000706 0 208.033511 812.276102 1087.87135
28 10 1980 1980-10-28 1981 -0.374937 0.000803 0 208.030662 812.210393 1087.801866
